date,close
11/2/2020,30.22
11/2/2020,30.22
10/30/2020,30.64
9/30/2020,30.58
8/31/2020,30.85
7/31/2020,24.97
6/30/2020,28.05
5/29/2020,25.21
4/30/2020,25.91
3/31/2020,28.53
2/28/2020,46.13
1/31/2020,55.74
12/31/2019,58.48
11/29/2019,57.31
10/31/2019,55.08
9/30/2019,57.6
8/30/2019,57.86
7/31/2019,61.04
6/28/2019,56.75
5/31/2019,51.5
4/30/2019,58.29
3/29/2019,51.65
2/28/2019,49.58
1/31/2019,49.43
12/31/2018,49.9
11/30/2018,60.71
10/31/2018,54.73
9/28/2018,57.83
8/31/2018,58.48
7/31/2018,54.42
6/29/2018,49.54
5/31/2018,54.05
4/30/2018,52.22
3/29/2018,54.81
2/28/2018,53.9
1/31/2018,56.77
12/29/2017,56
11/30/2017,52.92
10/31/2017,50.03
9/29/2017,48.22
8/31/2017,47.19
7/31/2017,49.36
6/30/2017,53.74
5/31/2017,49.13
4/28/2017,45.44
3/31/2017,45.96
2/28/2017,49.93
1/31/2017,47.24
12/30/2016,49.19
11/30/2016,48.18
10/31/2016,41.77
9/30/2016,39.36
8/31/2016,36.75
7/29/2016,38.75
6/30/2016,36.43
5/31/2016,43.46
4/29/2016,41.67
3/31/2016,48.68
2/29/2016,48.24
1/29/2016,44.29
12/31/2015,50.69
11/30/2015,46.46
10/30/2015,50.84
9/30/2015,44.87
8/31/2015,43.78
7/31/2015,44.34
6/30/2015,41.08
5/29/2015,42.92
4/30/2015,44.64
3/31/2015,44.96
2/27/2015,44.52
1/30/2015,47.31
12/31/2014,49.19
11/28/2014,46.67
10/31/2014,40.23
9/30/2014,36.15
8/29/2014,39.58
7/31/2014,37.46
6/30/2014,38.72
5/30/2014,39.91
4/30/2014,36.83
3/31/2014,34.65
2/28/2014,33.21
1/31/2014,30.61
12/31/2013,27.47
11/29/2013,28.98
10/31/2013,26.38
9/30/2013,23.59
8/30/2013,19.73
7/31/2013,21.23
6/28/2013,18.71
5/31/2013,18.01
4/30/2013,17.14
3/28/2013,16.51
2/28/2013,14.27
1/31/2013,13.89
12/31/2012,11.87
11/30/2012,10
10/31/2012,9.63
9/28/2012,9.16
8/31/2012,8.65
7/31/2012,9.65
6/29/2012,10.95
5/31/2012,12.1
4/30/2012,10.96
3/30/2012,9.915
2/29/2012,9.81
1/31/2012,10.55
12/30/2011,8.09
11/30/2011,8.12
10/31/2011,8.52
9/30/2011,7.5
8/31/2011,7.53
7/29/2011,7.89
6/30/2011,9.17
5/31/2011,10.08
4/29/2011,10.38
3/31/2011,9.8
2/28/2011,11.24
1/31/2011,11.67
12/31/2010,12.6
11/30/2010,13.68
10/29/2010,13.885
9/30/2010,11.64
8/31/2010,10.46
7/30/2010,11.88
6/30/2010,11.75
5/28/2010,13.58
4/30/2010,12.08
3/31/2010,14.59
2/26/2010,12.92
1/29/2010,12.23
12/31/2009,11.38
11/30/2009,8.19
10/30/2009,7.14
9/30/2009,8.96
8/31/2009,7.22
7/31/2009,6.93
6/30/2009,5.79
5/29/2009,5.81
4/30/2009,6.17
3/31/2009,5.63
2/27/2009,5.03
1/30/2009,6.9
12/31/2008,11.46
11/28/2008,8.81
10/31/2008,10.98
9/30/2008,7.45
8/29/2008,8.13
7/31/2008,7.54
6/30/2008,5.7
5/30/2008,6.15
4/30/2008,8.51
3/31/2008,8.6
2/29/2008,13.35
1/31/2008,16.82
12/31/2007,14.89
11/30/2007,19.76
10/31/2007,20.8
9/28/2007,17.95
8/31/2007,16.88
7/31/2007,17.82
6/29/2007,19.7
