fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
12/31/2017,USD,84524000000,1884000000,None,1020000000,10177000000,74347000000,0,98000000,0,33990000000,6295000000,18221000000,22240000000,8079000000,3760000000,390000000,390000000,-227000000,13721000000,48563000000,None,54242000000,33632000000,5832000000,72000000,0,3662000000,0,0,0,0,33990000000,0,None,2135000000,None,35961000000,None,None,6417000000,6417000000,None,None,None,40584000000,84524000000,41711000000,None,2956000000
9/30/2017,USD,78998000000,2050000000,None,1490000000,7790000000,71208000000,0,105000000,0,31209000000,4485000000,18213000000,22637000000,7201000000,3305000000,314000000,314000000,-200000000,12158000000,44203000000,None,50945000000,31088000000,4424000000,0,0,3200000000,0,0,0,0,31209000000,0,None,2374000000,None,34795000000,None,None,4485000000,4485000000,None,None,None,40199000000,78998000000,38289000000,None,2956000000
6/30/2017,USD,73843000000,2186000000,None,1455000000,7362000000,66481000000,0,88000000,0,27560000000,4047000000,18129000000,22411000000,6252000000,3315000000,278000000,278000000,-370000000,10628000000,40804000000,None,46166000000,29200000000,3897000000,0,0,3227000000,0,0,0,0,27560000000,0,None,2096000000,None,33039000000,None,None,4047000000,4047000000,None,None,None,39291000000,73843000000,35452000000,None,2951000000
3/31/2017,USD,68714000000,2360000000,None,1209000000,6526000000,62188000000,0,80000000,0,24175000000,3598000000,18126000000,22322000000,7104000000,2928000000,278000000,278000000,-626000000,9462000000,36930000000,None,41702000000,25202000000,3415000000,0,0,2848000000,0,0,0,0,24175000000,0,None,1836000000,None,31784000000,None,None,3598000000,3598000000,None,None,None,38639000000,68714000000,32306000000,None,2944000000
12/31/2016,USD,64961000000,2535000000,None,959000000,5767000000,59194000000,0,90000000,37391000000,21670000000,2780000000,18122000000,21969000000,8903000000,2875000000,280000000,280000000,-703000000,8591000000,34401000000,None,38537000000,20546000000,3993000000,112000000,0,2785000000,0,0,0,0,21670000000,0,None,1312000000,None,30560000000,None,None,2892000000,2892000000,None,None,None,38227000000,64961000000,29449000000,None,2925000000
9/30/2016,USD,59674000000,2702000000,None,1118000000,5559000000,54115000000,0,78000000,0,15731000000,2964000000,18085000000,21447000000,6038000000,2595000000,239000000,239000000,-372000000,7899000000,30328000000,None,33328000000,20102000000,3070000000,0,0,2517000000,0,0,0,0,15731000000,0,None,660000000,None,29346000000,None,None,2964000000,2964000000,None,None,None,38756000000,59674000000,26140000000,None,2931000000
6/30/2016,USD,55739000000,2879000000,None,916000000,5356000000,50383000000,0,79000000,0,12978000000,3145000000,18043000000,21625000000,5108000000,2211000000,232000000,232000000,-374000000,7104000000,27010000000,None,29461000000,18185000000,2801000000,0,0,2132000000,0,0,0,0,13352000000,0,None,703000000,None,28729000000,None,None,3145000000,3145000000,None,None,None,37405000000,55739000000,23293000000,None,2921000000
3/31/2016,USD,52075000000,3067000000,None,843000000,4925000000,47150000000,0,55000000,0,11021000000,3116000000,18029000000,21796000000,6456000000,1809000000,216000000,216000000,-276000000,6467000000,23812000000,None,26054000000,14165000000,2348000000,0,0,1754000000,0,0,0,0,11297000000,0,None,700000000,None,28263000000,None,None,3116000000,3116000000,None,None,None,36129000000,52075000000,20621000000,None,2905000000
12/31/2015,USD,49407000000,3246000000,None,659000000,5189000000,44218000000,0,56000000,0,9787000000,2994000000,18026000000,22068000000,4907000000,1925000000,7000000,315000000,-455000000,5687000000,21652000000,None,22946000000,13527000000,2559000000,107000000,0,1862000000,0,0,0,0,9787000000,0,None,796000000,None,27755000000,107000000,107000000,3157000000,3264000000,None,None,None,34886000000,49407000000,18434000000,None,2853000000
9/30/2015,USD,46469000000,3437000000,None,1295000000,5049000000,41420000000,0,47000000,0,8226000000,3148000000,18024000000,21995000000,4308000000,1792000000,17000000,None,-380000000,5335000000,19139000000,None,19959000000,11526000000,2010000000,109000000,0,1728000000,0,0,0,0,8226000000,0,None,534000000,None,27330000000,109000000,109000000,3148000000,3257000000,None,None,None,33574000000,46469000000,15834000000,None,2863000000
6/30/2015,USD,44130000000,3605000000,None,1011000000,4678000000,39452000000,0,49000000,0,6973000000,2687000000,18025000000,22224000000,5123000000,1881000000,39000000,None,-357000000,4955000000,16951000000,None,17822000000,9002000000,1815000000,110000000,0,1793000000,0,0,0,0,7330000000,0,None,594000000,None,27179000000,110000000,110000000,2687000000,2797000000,None,None,None,32479000000,44130000000,14125000000,None,2850000000
