fiscalDateEnding,accountsPayable,accumulatedAmortization,accumulatedDepreciation,additionalPaidInCapital,capitalLeaseObligations,capitalSurplus,cash,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,commonStockTotalEquity,currentLongTermDebt,deferredLongTermAssetCharges,deferredLongTermLiabilities,earningAssets,goodwill,intangibleAssets,inventory,liabilitiesAndShareholderEquity,longTermDebt,longTermInvestments,negativeGoodwill,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,otherNonCurrentLiabilities,otherNonCurrrentAssets,otherShareholderEquity,preferredStockRedeemable,preferredStockTotalEquity,propertyPlantEquipment,reportedCurrency,retainedEarnings,retainedEarningsTotalEquity,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalLongTermDebt,totalNonCurrentAssets,totalNonCurrentLiabilities,totalPermanentEquity,totalShareholderEquity,treasuryStock,warrants
2020-09-30,12509000000,None,None,None,7753000000,None,17205000000,None,81089000000,None,None,6497000000,None,None,None,43890000000,6923000000,2705000000,None,57055000000,3103000000,None,22851000000,72579000000,13034000000,13544000000,9476000000,33174000000,11525000000,13034000000,3110000000,None,None,56974000000,USD,39193000000,None,None,120772000000,301001000000,177077000000,70056000000,177609000000,None,123924000000,107553000000,None,123392000000,None,None
2020-06-30,12530000000,None,None,None,7671000000,33233250000,13576000000,136527000000,80552000000,7571000000,80552000000,3749000000,None,204000000,None,43351000000,7038000000,1895000000,301311000000,59578000000,2965000000,None,32011000000,67915000000,13138000000,11482000000,10027000000,34492000000,10632000000,13138000000,3186000000,None,None,52904000000,USD,34566000000,34566000000,3749000000,122951000000,301311000000,181915000000,72310000000,183007000000,59578000000,119396000000,110697000000,None,118304000000,None,None
2020-03-31,9246000000,None,None,None,7248000000,32375500000,11710000000,137626000000,79813000000,7590000000,79813000000,3748000000,None,185000000,None,42064000000,6855000000,1644000000,285449000000,62862000000,2660000000,None,22699000000,65582000000,13696000000,8536000000,9151000000,33991000000,9673000000,13696000000,2676000000,None,None,49669000000,USD,32012000000,32012000000,3748000000,125916000000,285449000000,170505000000,58707000000,170948000000,62862000000,114944000000,112241000000,None,114501000000,None,None
2019-12-31,8811000000,None,None,None,7172000000,32056250000,8864000000,134253000000,79625000000,7611000000,79625000000,6247000000,None,222000000,None,42248000000,7126000000,1823000000,282794000000,63361000000,2755000000,None,23525000000,60735000000,14630000000,7473000000,9131000000,34225000000,9658000000,14630000000,-255000000,None,None,48961000000,USD,30739000000,30739000000,6247000000,125389000000,282794000000,167074000000,59640000000,172685000000,63361000000,115720000000,113045000000,None,110109000000,None,None
2019-09-30,8574000000,None,None,None,6659000000,31169500000,13117000000,136636000000,78882000000,7634000000,78882000000,3017000000,None,234000000,None,42113000000,7508000000,2622000000,278955000000,66478000000,2684000000,None,19087000000,56440000000,14455000000,7551000000,8507000000,34178000000,8826000000,14455000000,-61000000,None,None,46299000000,USD,27240000000,27240000000,3017000000,123519000000,278955000000,165896000000,58118000000,172894000000,66478000000,113059000000,114776000000,None,106061000000,None,None
2019-06-30,9382000000,None,None,None,6188000000,28840500000,11356000000,133819000000,78520000000,7643000000,78520000000,5516000000,None,233000000,None,42026000000,7750000000,2063000000,286556000000,66662000000,2649000000,None,29524000000,52554000000,14723000000,10146000000,9351000000,35699000000,7581000000,14723000000,-340000000,None,None,36477000000,USD,24150000000,24150000000,5516000000,122463000000,286556000000,175552000000,69420000000,184226000000,66662000000,111004000000,114806000000,None,102330000000,None,None
2019-03-31,15258000000,None,None,None,5972000000,29878500000,11212000000,131618000000,77791000000,7666000000,77791000000,6515000000,None,1838000000,None,41861000000,8103000000,1951000000,263281000000,66585000000,2403000000,None,19269000000,44900000000,10258000000,7049000000,32088000000,36471000000,46133000000,17379000000,-1265000000,None,None,33648000000,USD,18338000000,18338000000,6515000000,120406000000,263281000000,159887000000,53861000000,168417000000,66585000000,103394000000,114556000000,None,94864000000,None,None
2018-12-31,14220000000,None,None,None,None,29537250000,6638000000,127662000000,77556000000,7683000000,77556000000,3516000000,None,2062000000,None,41577000000,8482000000,1961000000,258859000000,69653000000,2274000000,None,19680000000,42069000000,10129000000,7571000000,32582000000,36112000000,44698000000,16935000000,-2013000000,None,None,32717000000,USD,16585000000,16585000000,3516000000,121024000000,258859000000,156874000000,50318000000,166731000000,69653000000,101985000000,116413000000,None,92128000000,None,None
2018-09-30,15123000000,None,None,0,None,None,15137000000,135880000000,71303000000,7680000000,71303000000,6497000000,None,1977000000,None,35855000000,7579000000,3614000000,257619000000,69733000000,2034000000,None,17390000000,42533000000,9792000000,7311000000,34657000000,35519000000,43665000000,16526000000,-2615000000,None,0,31430000000,USD,17279000000,17279000000,6497000000,120743000000,257619000000,164195000000,56277000000,171652000000,69733000000,93424000000,115375000000,0,85967000000,0,None
2018-06-30,16841000000,None,None,0,None,None,11946000000,133768000000,71223000000,7677000000,71223000000,5397000000,None,541000000,None,35683000000,8053000000,2662000000,258848000000,72242000000,1862000000,None,26481000000,38982000000,7442000000,6751000000,37649000000,35707000000,44859000000,14128000000,-2187000000,None,0,29460000000,USD,13682000000,13682000000,3998000000,121822000000,258848000000,169662000000,58488000000,176130000000,72242000000,89186000000,117642000000,0,82718000000,0,None
