time,Open,High,Low,Close,Volume
2016-11-08 00:00:00-05:00,122.03,124.61,121.54,124.225,17228078
2016-11-09 00:00:00-05:00,121.5,123.81,120.51,123.18,26971851
2016-11-10 00:00:00-05:00,123.93,124.18,115.27,120.8,62031586
2016-11-11 00:00:00-05:00,119.53,120.7,118.15,119.02,29564066
2016-11-14 00:00:00-05:00,119.1256,119.1256,113.5535,115.08,45930550
2016-11-15 00:00:00-05:00,116.73,118.49,115.83,117.2,29428054
2016-11-16 00:00:00-05:00,114.48,117.88,114.21,116.33,27974906
2016-11-17 00:00:00-05:00,116.83,117.79,116.01,117.78,15819607
2016-11-18 00:00:00-05:00,118.34,119.13,116.84,117.03,18946181
2016-11-21 00:00:00-05:00,118.2,121.95,117.8,121.78,31532073
2016-11-22 00:00:00-05:00,122.4,122.98,120.9,121.46,22513806
2016-11-23 00:00:00-05:00,121.23,121.31,119.94,120.84,13487561
2016-11-25 00:00:00-05:00,121.01,121.14,120.07,120.38,7327252
2016-11-28 00:00:00-05:00,120.12,121.69,119.82,120.44,15214819
2016-11-29 00:00:00-05:00,120.57,122.1,120.4,120.9,16389074
2016-11-30 00:00:00-05:00,120.32,121.79,117.95,118.42,25282478
2016-12-01 00:00:00-05:00,118.38,118.45,114,115.07,38452005
2016-12-02 00:00:00-05:00,115.07,116.48,114.3,115.42,21472312
2016-12-05 00:00:00-05:00,115.95,117.57,115.07,117.43,17587869
2016-12-06 00:00:00-05:00,117.69,117.795,116.33,117.31,16832874
2016-12-07 00:00:00-05:00,117,117.94,116.57,117.94,18226084
2016-12-08 00:00:00-05:00,117.95,119.5,117.64,118.9,19972298
2016-12-09 00:00:00-05:00,119.26,119.94,118.95,119.67,15231183
2016-12-12 00:00:00-05:00,119.24,119.24,117.65,117.77,14743825
2016-12-13 00:00:00-05:00,117.86,121.52,117.61,120.31,26524775
2016-12-14 00:00:00-05:00,120,121.69,118.85,120.23,22237297
2016-12-15 00:00:00-05:00,120.08,122.5,119.63,120.57,16665969
2016-12-16 00:00:00-05:00,120.94,121.5,119.27,119.87,17404293
2016-12-19 00:00:00-05:00,119.85,120.36,118.51,119.24,13530294
2016-12-20 00:00:00-05:00,119.5,119.77,118.8,119.08,11354866
2016-12-21 00:00:00-05:00,118.92,119.2,118.48,119.03,9186739
2016-12-22 00:00:00-05:00,118.9,118.99,116.93,117.4,13754682
2016-12-23 00:00:00-05:00,117,117.56,116.3,117.27,9438797
2016-12-27 00:00:00-05:00,116.96,118.68,116.864,117.98,10324553
2016-12-28 00:00:00-05:00,118.19,118.25,116.65,116.92,10124721
2016-12-29 00:00:00-05:00,117,117.531,116.06,116.35,8529490
2016-12-30 00:00:00-05:00,116.72,116.83,114.7739,115.14,14744180
2017-01-03 00:00:00-05:00,116.03,117.84,115.51,116.85,18086353
2017-01-04 00:00:00-05:00,117.54,119.66,117.29,118.7,17348359
2017-01-05 00:00:00-05:00,118.86,120.95,118.3209,120.67,16716779
2017-01-06 00:00:00-05:00,120.85,123.88,120.03,123.43,25350200
2017-01-09 00:00:00-05:00,123.55,125.43,123.04,124.92,20257334
2017-01-10 00:00:00-05:00,124.82,125.5,124.28,124.35,14987307
2017-01-11 00:00:00-05:00,124.35,126.12,124.06,126.08,16254741
2017-01-12 00:00:00-05:00,125.61,126.73,124.8,126.64,16127037
2017-01-13 00:00:00-05:00,127.49,129.27,127.37,128.33,21777028
2017-01-17 00:00:00-05:00,128.02,128.34,127.4,127.85,11700685
2017-01-18 00:00:00-05:00,128.41,128.43,126.84,127.92,10714808
2017-01-19 00:00:00-05:00,128.23,128.35,127.45,127.55,9768484
2017-01-20 00:00:00-05:00,128.17,128.48,126.78,127.07,15442321
2017-01-23 00:00:00-05:00,127.31,129.25,126.95,128.93,14062289
2017-01-24 00:00:00-05:00,129.38,129.9,128.38,129.36,13122022
2017-01-25 00:00:00-05:00,130,131.74,129.77,131.49,16241598
2017-01-26 00:00:00-05:00,131.85,133.14,131.4401,132.78,17416977
2017-01-27 00:00:00-05:00,132.68,132.95,131.08,132.18,16836763
2017-01-30 00:00:00-05:00,131.58,131.58,129.6,130.93,16464418
2017-01-31 00:00:00-05:00,130.09,130.66,129.5157,130.33,16336938
2017-02-01 00:00:00-05:00,132.24,133.49,130.68,133.23,31371545
2017-02-02 00:00:00-05:00,133.26,135.49,130.4,130.84,46839997
2017-02-03 00:00:00-05:00,131.2,132.85,130.76,130.96,21275359
2017-02-06 00:00:00-05:00,130.98,132.06,130.3,132.06,14138053
2017-02-07 00:00:00-05:00,132.24,133,131.661,131.83,12736587
2017-02-08 00:00:00-05:00,132.76,134.44,132.44,134.2,18889637
2017-02-09 00:00:00-05:00,134.53,134.53,133.31,134.13,12956661
2017-02-10 00:00:00-05:00,134.1,134.94,133.68,134.19,12260840
2017-02-13 00:00:00-05:00,134.65,134.6975,133.7,134.04,11527752
2017-02-14 00:00:00-05:00,134.21,134.23,132.55,133.85,12304630
2017-02-15 00:00:00-05:00,133.45,133.7,132.66,133.43,11000372
2017-02-16 00:00:00-05:00,133.06,133.87,133.022,133.8,10954704
2017-02-17 00:00:00-05:00,133.5,134.0912,133.17,133.52,9675923
2017-02-21 00:00:00-05:00,133.51,133.91,132.9,133.72,12010535
2017-02-22 00:00:00-05:00,133.6,136.79,133.46,136.1,24032187
2017-02-23 00:00:00-05:00,135.89,136.12,134.33,135.35,15495142
2017-02-24 00:00:00-05:00,134.16,135.62,134.16,135.4,10446094
2017-02-27 00:00:00-05:00,135.26,137.1846,135.02,136.41,11923606
2017-02-28 00:00:00-05:00,136.79,136.805,134.75,135.5418,12730924
2017-03-01 00:00:00-05:00,136.49,137.48,136.3,137.39,13660148
2017-03-02 00:00:00-05:00,137.09,137.82,136.31,136.75,9785552
2017-03-03 00:00:00-05:00,136.63,137.33,136.08,137.12,9205129
2017-03-06 00:00:00-05:00,136.88,137.83,136.51,137.42,9638987
2017-03-07 00:00:00-05:00,137.11,138.37,136.99,137.26,11449003
2017-03-08 00:00:00-05:00,137.15,137.99,137.0516,137.72,8416101
2017-03-09 00:00:00-05:00,137.72,138.57,137.4,138.25,11835399
2017-03-10 00:00:00-05:00,138.91,139.49,138.22,138.82,12965762
2017-03-13 00:00:00-04:00,138.69,139.68,138.6729,139.59,8790127
2017-03-14 00:00:00-04:00,139.42,139.46,138.52,139.32,10910042
2017-03-15 00:00:00-04:00,139.27,140,138.49,139.7,16134406
2017-03-16 00:00:00-04:00,140.2,140.25,139.73,139.99,11705787
2017-03-17 00:00:00-04:00,140.21,140.34,139.7,139.77,13138522
2017-03-20 00:00:00-04:00,139.71,140.19,139.25,139.94,8866653
